"Age","Distance","Club","Year","Gender","Place","Name"
42,3800,"ISF",2000,NA,61,"Cheryl Gettelfinger"
44,3755,"NEM",2000,NA,62,"Glenna J. Ryan"
43,3750,"UCLA",2000,NA,63,"Rory Barish"
44,3745,"OREG",2000,NA,64,"Jody M. Welborn"
41,3725,"GCMT",2000,NA,65,"Kathleen Hughes"
44,3700,"LAM",2000,NA,66,"Kamrin K. Desmond"
44,3675,"DAM",2000,NA,67,"Laurel A. King"
41,3670,"DAM",2000,NA,68,"Laurie M. Perry"
40,3665,"SPM",2000,NA,69,"Patricia J. Nardozzi"
42,3650,"OREG",2000,NA,70,"Paris W. Geiken"
40,3650,"GNOM",2000,NA,71,"Ellyn Sterling"
41,3640,"TAM",2000,NA,72,"Jessica Jakobi"
40,3620,"NEM",2000,NA,73,"Joyce Bledsoe"
40,3610,"SANR",2000,NA,74,"Mary M. Champlin"
41,3580,"USAB",2000,NA,75,"Amanda Leveroni"
40,3580,"TPIT",2000,NA,76,"Anne K. McBride"
42,3575,"DAM",2000,NA,77,"Valerie M. Greenough"
42,3560,"ISF",2000,NA,78,"Mary Weerts"
41,3555,"DAM",2000,NA,79,"Sarah J. Chaney"
43,3545,"WILD",2000,NA,80,"Janice Kregor"
42,3540,"LAM",2000,NA,81,"Jane Lombard"
40,3540,"SC",2000,NA,82,"Kumiko Ishihara"
44,3515,"SLAM",2000,NA,83,"Sally Moloney"
42,3495,"NEM",2000,NA,84,"Amy Waltch"
44,3450,"ISF",2000,NA,85,"Patricia Schenkel"
43,3430,"WILD",2000,NA,86,"Meg Smith"
43,3420,"GCMT",2000,NA,87,"Donna C. Bush"
42,3400,"NEM",2000,NA,88,"Catherine Singleton"
40,3390,"CRUZ",2000,NA,89,"Patty A. Quillin"
42,3370,"ISF",2000,NA,90,"Julie Stout"
42,3350,"CONN",2000,NA,91,"Nancy R. Ford"
41,3350,"ISF",2000,NA,92,"Susan Lasich"
41,3350,"NEM",2000,NA,93,"Ann Richard"
41,3335,"NEM",2000,NA,94,"M. Molly Magoon"
40,3300,"SPM",2000,NA,95,"Gail D. Linton"
43,3280,"NEM",2000,NA,96,"Sandy Woodcock"
43,3250,"SANR",2000,NA,97,"Susan B. Miller"
43,3250,"DAM",2000,NA,98,"Gail W. Feenstra"
43,3250,"DAM",2000,NA,99,"Diane M. Barrett"
44,3250,"OREG",2000,NA,100,"Connie Peterson"
40,3230,"NEM",2000,NA,101,"Margie Ferguson"
44,3230,"NML",2000,NA,102,"Loraine Ramsden"
44,3230,"WILD",2000,NA,103,"Gail O'Malley"
40,3145,"EMP",2000,NA,104,"Madeleine Dale"
42,3140,"1776",2000,NA,105,"Christine Jones"
42,3130,"NEM",2000,NA,106,"Cheryl McElroy"
42,3130,"MOVY",2000,NA,107,"Robin A. Robertson"
41,3120,"USAB",2000,NA,108,"Stefani L. Eiben"
40,3105,"AAM",2000,NA,109,"Gloen D. Hacker"
42,3035,"NWS",2000,NA,110,"S. Bellamy"
41,3025,"LOM",2000,NA,111,"Susan M. Hinrichs"
41,3005,"ISF",2000,NA,112,"Paula Mann"
41,2970,"NCMS",2000,NA,113,"Catherine F. Hill"
44,2945,"MVM",2000,NA,114,"Maria Marsilio"
40,2935,"WACM",2000,NA,115,"Tamara C. Baker"
41,2900,"EMP",2000,NA,116,"Karen Wright"
43,2898,"NEM",2000,NA,117,"Joyce Brewer"
40,2895,"NEM",2000,NA,118,"Sandy Y. Droste"
43,2840,"NML",2000,NA,119,"Helen Louis Skidmore"
42,2800,"NEM",2000,NA,120,"Nancy E. Jennett"
43,2730,"EMP",2000,NA,121,"Deborah L. Sardone"
44,2700,"LOM",2000,NA,122,"Jennifer L. Bestor"
41,2675,"BLUE",2000,NA,123,"Sue A. Moucha"
44,2650,"RINC",2000,NA,124,"Michelle Furbershaw"
41,2650,"PNA",2000,NA,125,"Joanne E. Kirkland"
40,2640,"NEM",2000,NA,126,"Barbara Bennett"
42,2620,"NEM",2000,NA,127,"Susan E. Kessler"
41,2590,"PNA",2000,NA,128,"Natasha Esuabana"
43,2475,"EMP",2000,NA,129,"Cathleen Lewis"
43,2360,"ISF",2000,NA,130,"Brenda Whicker"
42,2337,"NEM",2000,NA,131,"Ann Dawson"
42,2040,"WPM",2000,NA,132,"Lesley Hughes"
44,0,"EMP",2000,NA,133,"Victoria Poth"
47,4770,"SMMM",2000,NA,1,"Danielle Ogier"
47,4720,"NEM",2000,NA,2,"Jacki Hirsty"
48,4565,"VMST",2000,NA,3,"Shirley A. Loftus"
45,4535,"DAM",2000,NA,4,"Cathy Carr L. West"
48,4450,"USAB",2000,NA,5,"Regina Brittingham"
47,4425,"NEM",2000,NA,6,"Karen Bierwert"
46,4385,"LAM",2000,NA,7,"Cathy Schulbach"
45,4380,"NCMS",2000,NA,8,"Debbie Wilson"
47,4335,"GOST",2000,NA,9,"Laura A. Finke"
47,4310,"SPM",2000,NA,10,"Pam Geiger"
46,4300,"CRUZ",2000,NA,11,"Linda Locklin"
45,4300,"CRUZ",2000,NA,12,"Lisa Rulison"
45,4235,"NCMS",2000,NA,13,"Beverly O. Amick"
45,4220,"TAM",2000,NA,14,"Karen A. Goldman"
45,4150,"NEM",2000,NA,15,"Rob Michaels"
45,4110,"MOVY",2000,NA,16,"Brenda L. Meyer"
49,4105,"UNAT",2000,NA,17,"Jan Miller"
45,4105,"OREG",2000,NA,18,"Deb Gregoire"
49,4085,"OREG",2000,NA,19,"Darlene J. Staley"
45,3990,"TAM",2000,NA,20,"Laura Bea Albrecht"
46,3975,"NCMS",2000,NA,21,"Mary R. Sandbury"
49,3975,"NEM",2000,NA,22,"Amy Tartakoff"
46,3925,"DAM",2000,NA,23,"Marnelle Gleason"
45,3910,"DAM",2000,NA,24,"Jane E. Higgins"
45,3900,"NEM",2000,NA,25,"Linda H. Isner"
49,3900,"NEM",2000,NA,26,"Pam O'Neill"
45,3885,"NEM",2000,NA,27,"Jeanne Sundvik"
45,3880,"NEM",2000,NA,28,"Joan Reilly"
47,3860,"UNAT",2000,NA,29,"Sibyl C. Baldwin"
45,3850,"DSSM",2000,NA,30,"Edna W. Moore"
46,3840,"ISF",2000,NA,31,"Holly Lambert"
46,3810,"MOVY",2000,NA,32,"Liz Dobbins"
46,3770,"CRUZ",2000,NA,33,"Joan V. Smith"
46,3770,"NEM",2000,NA,34,"Leslie K. Tatar"
45,3755,"ISF",2000,NA,35,"Kathy Berger"
45,3730,"WPM",2000,NA,36,"Lisa Loprinzo"
48,3725,"DAM",2000,NA,37,"Patricia H. Newman"
45,3715,"SWM",2000,NA,38,"Cheryl J. Plantz"
49,3675,"SPM",2000,NA,39,"Barbara Prescott"
48,3665,"NEM",2000,NA,40,"Laura Simmons"
49,3660,"NIAG",2000,NA,41,"Tricia A. Engineri"
45,3610,"NEM",2000,NA,42,"Esther Solondz"
46,3600,"NEM",2000,NA,43,"Martha K. Pasquali"
46,3600,"PNA",2000,NA,44,"Deborah J. Amandoli"
49,3600,"OMAH",2000,NA,45,"Mary Pat Moeller"
47,3595,"OREG",2000,NA,46,"Susan D. Collins"
46,3585,"NEM",2000,NA,47,"Judith Sharlin"
49,3580,"NML",2000,NA,48,"Yoke Kingma"
49,3565,"NEM",2000,NA,49,"Susan Barbary"
49,3550,"NEM",2000,NA,50,"Joan Kelley"
49,3545,"SMMM",2000,NA,51,"Dale Finch"
47,3545,"OREG",2000,NA,52,"Lizbeth K. Fuller"
45,3510,"EMP",2000,NA,53,"Mary Carter"
46,3493,"OREG",2000,NA,54,"June Mather"
48,3475,"SAW",2000,NA,55,"Jill Wright"
49,3430,"DAM",2000,NA,56,"Diane Davis"
45,3425,"MVM",2000,NA,57,"Cynthia Hanson"
48,3420,"WPM",2000,NA,58,"Kathleen G. Savolt"
47,3400,"SPM",2000,NA,59,"Alexis Zubrod"
48,3400,"NEM",2000,NA,60,"Alison Goulder"
46,3400,"NEM",2000,NA,61,"Cathy Scanlan"
46,3400,"DAM",2000,NA,62,"Rose M. Conroy"
46,3400,"NEM",2000,NA,63,"Debbie Levens"
45,3385,"WPM",2000,NA,64,"Pia N. Sanda"
48,3375,"WMAC",2000,NA,65,"Jane E. Duke"
47,3350,"EMP",2000,NA,66,"Janet Piez"
45,3335,"GRIN",2000,NA,67,"Cindy Miller"
49,3325,"DAM",2000,NA,68,"Maggie C. Larsen"
46,3315,"SMMM",2000,NA,69,"Nancy Littlefield"
45,3300,"ISF",2000,NA,70,"Jackie Herron"
48,3300,"DAM",2000,NA,71,"Mary J. Williams"
46,3295,"NEM",2000,NA,72,"Kitty Carter"
45,3285,"UNAT",2000,NA,73,"Collen P. Collins"
48,3275,"DAM",2000,NA,74,"Lyra Halprin"
45,3250,"NEM",2000,NA,75,"Anne Warner"
47,3235,"NEM",2000,NA,76,"Betsy Bardo"
47,3212,"DAM",2000,NA,77,"GeorgianneJac Horton"
49,3210,"OREG",2000,NA,78,"Ann Fulton"
47,3170,"DAM",2000,NA,79,"Sally L. Colvin"
46,3145,"NEM",2000,NA,80,"Sally Chandler"
46,3130,"ADMS",2000,NA,81,"Melanie M. Babineau"
45,3075,"TAM",2000,NA,82,"Jane Hook"
45,3065,"LAM",2000,NA,83,"Andrea C. Ivan"
45,3050,"WILD",2000,NA,84,"Nancy Williams"
48,3025,"DAM",2000,NA,85,"Marg K. Bartosek"
47,3000,"NCMS",2000,NA,86,"Eugenia Rogers"
48,3000,"CRAQ",2000,NA,87,"Evelyn J. DuBois"
47,2935,"ARKM",2000,NA,88,"Becky J. Christenson"
46,2900,"LVTC",2000,NA,89,"Diann La Crox"
45,2895,"NEM",2000,NA,90,"Deborah W. Lee"
49,2890,"NEM",2000,NA,91,"Mary Ann Murray"
46,2800,"ISF",2000,NA,92,"Maren Breitwieser"
49,2800,"LOM",2000,NA,93,"Christine M. Hunner"
49,2765,"NEM",2000,NA,94,"Jean Forbes"
45,2735,"ISF",2000,NA,95,"Becky Step"
47,2700,"NEM",2000,NA,96,"Ellen Richards"
45,2690,"DAM",2000,NA,97,"Jean S. Rissman"
46,2685,"NCMS",2000,NA,98,"Rita B. Phillips"
48,2655,"NEM",2000,NA,99,"Barbara Tytell"
48,2575,"NEM",2000,NA,100,"Beth DelBono"
48,2550,"DAM",2000,NA,101,"Mulay Rajan"
45,2500,"LAM",2000,NA,102,"Elaine Thomas"
47,2490,"NEM",2000,NA,103,"Gerri Feldman"
49,2490,"NEM",2000,NA,104,"Jacqueline M. Piret"
49,2400,"ISF",2000,NA,105,"Carolyn Sedinger"
46,2355,"EMP",2000,NA,106,"Jean Mamakos"
45,2310,"ARKM",2000,NA,107,"Paula R. Carr"
47,1945,"LOM",2000,NA,108,"Mary Austin Ripma"
47,1710,"TSI",2000,NA,109,"Christine Lee"
50,4725,"SDSM",2000,NA,1,"Barbara G. Dunbar"
51,4360,"PNA",2000,NA,2,"Katherine J. Casey"
50,4315,"DSSM",2000,NA,3,"Jeannette Bauer"
53,4185,"PNA",2000,NA,4,"Sally A. Dillon"
54,4155,"LAM",2000,NA,5,"Carolyn F. Boak"
50,4150,"EMP",2000,NA,6,"Phyllis Springer"
50,4120,"EMP",2000,NA,7,"Gwen Deely"
50,4115,"QBN",2000,NA,8,"Tracy Clarkson"
51,4060,"SPM",2000,NA,9,"Anne M. Page"
52,4015,"USAB",2000,NA,10,"Marji Thomas-Will"
50,3900,"ANCM",2000,NA,11,"Myriam Pero"
51,3840,"EMP",2000,NA,12,"Lisa Martin"
53,3745,"NEM",2000,NA,13,"Connie Sasser"
52,3710,"MEND",2000,NA,14,"Lisa Orselli"
50,3670,"MCMS",2000,NA,15,"Pearl Cox"
51,3650,"EMP",2000,NA,16,"Susan Yeomans"
53,3620,"NIAG",2000,NA,17,"Kay G. Turner"
50,3620,"NEM",2000,NA,18,"JoAnn Finn"
50,3600,"NEM",2000,NA,19,"Susan Maguire"
52,3575,"UCLA",2000,NA,20,"Brenda Jarmakani"
50,3515,"OREG",2000,NA,21,"Jani Sutherland"
51,3460,"DAM",2000,NA,22,"Barry Callahan"
54,3420,"EMP",2000,NA,23,"Rosemary Lillis"
50,3375,"HOTS",2000,NA,24,"Delpfine E. Welch"
51,3370,"NEM",2000,NA,25,"Elizabeth Kane"
54,3370,"NEM",2000,NA,26,"Ann Fredette"
51,3365,"PNA",2000,NA,27,"Judy K. Williams"
51,3350,"NEM",2000,NA,28,"Kathleen Kocaba"
50,3350,"PNA",2000,NA,29,"Dempsey Dybadahl"
52,3335,"ISF",2000,NA,30,"Barbara H. Larsen"
50,3290,"NEM",2000,NA,31,"Eleta Klene"
50,3275,"DAM",2000,NA,32,"Nancy D. Ottum"
51,3245,"EMP",2000,NA,33,"Christine Boutros"
51,3200,"UNAT",2000,NA,34,"Frances J Carly"
53,3175,"DAM",2000,NA,35,"Candace J. Cross-Drew"
50,3170,"UNAT",2000,NA,36,"Nataly Berckmann"
51,3145,"NEM",2000,NA,37,"Jae Kane"
52,3060,"MOVY",2000,NA,38,"Dulcy M. Shellon"
50,3055,"ISF",2000,NA,39,"Santa Olson"
50,3050,"ISF",2000,NA,40,"Sue Trumpey"
50,2955,"EMP",2000,NA,41,"Patricia McGovern"
50,2945,"EMP",2000,NA,42,"Denise Conners"
53,2870,"Wild",2000,NA,43,"Diana W. Martin"
50,2790,"EMP",2000,NA,44,"Virginia Bitzer"
51,2785,"ISF",2000,NA,45,"Sue Rockafellow"
52,2765,"ISF",2000,NA,46,"Carol Hall"
54,2760,"NEM",2000,NA,47,"Manya Hult"
51,2740,"EMP",2000,NA,48,"Karen Sauvigne"
51,2650,"ISF",2000,NA,49,"Martha Koen"
54,2600,"LVTC",2000,NA,50,"Lynda McCormick"
53,2575,"NVAQ",2000,NA,51,"Nancy R. Beiter"
50,2565,"ISF",2000,NA,52,"S. Vicki Hale"
52,2550,"NEM",2000,NA,53,"Liz Anderson"
52,2460,"NML",2000,NA,54,"Merilyn Marel"
51,2365,"DAM",2000,NA,55,"Catherine Christo"
53,2350,"LVTC",2000,NA,56,"Diane Daniel"
51,2055,"DST",2000,NA,57,"Sue S. Minkoff"
58,4240,"TAM",2000,NA,1,"Nancy Ridout"
57,4050,"NMMS",2000,NA,2,"Chris Peterson"
57,4050,"NMMS",2000,NA,3,"Vivian Reinikainen"
56,4040,"LOM",2000,NA,4,"Marcy F. Woodrow"
57,4035,"DCM",2000,NA,5,"Barbara Frid"
56,3805,"SPM",2000,NA,6,"Elaine Bromwich"
58,3715,"DCM",2000,NA,7,"Beth Schreiner"
58,3700,"NEM",2000,NA,8,"Aagje A. Caron"
55,3650,"STAN",2000,NA,9,"Daniela Barnea"
56,3575,"EMP",2000,NA,10,"Kathleen B. Sarg"
56,3560,"MICH",2000,NA,11,"Jennifer Parks"
55,3540,"EMP",2000,NA,12,"Marcia M. Hill"
57,3520,"ISF",2000,NA,13,"Susan Meyers"
59,3425,"NIAG",2000,NA,14,"Louise Murray"
55,3375,"DAM",2000,NA,15,"Terri L. Davison"
56,3355,"OREG",2000,NA,16,"Peggy Whiter"
57,3279,"UNAT",2000,NA,17,"Ellen Shockro"
57,3195,"MICH",2000,NA,18,"Joyce Kowalski"
57,3175,"EMP",2000,NA,19,"Emily Trueblood"
55,3165,"NIAG",2000,NA,20,"Arlene Weyman"
55,3095,"MICH",2000,NA,21,"Fredericka Rapp"
59,3090,"NWS",2000,NA,22,"Maureen Hall"
55,3080,"EMP",2000,NA,23,"Ine Wijtvliet"
56,3050,"EMP",2000,NA,24,"Patricia A. Saunders"
57,3010,"TAM",2000,NA,25,"Mary Ann Buxton"
55,2975,"DAM",2000,NA,26,"Judith H. Clark"
57,2915,"WILD",2000,NA,27,"Celinda Todd"
58,2890,"FMM",2000,NA,28,"Mary Lou Lee"
56,2880,"TAM",2000,NA,29,"Rebecca R. Herrero"
57,2875,"SMMM",2000,NA,30,"Lynne Taft"
57,2820,"DAM",2000,NA,31,"Susan W. Hall"
55,2800,"SWAM",2000,NA,32,"Barbara Reese"
56,2780,"SMMM",2000,NA,33,"Carolyn P. Banda"
56,2770,"DAM",2000,NA,34,"Ann C. Noble"
55,2770,"DAM",2000,NA,35,"Sally M. Wood"
56,2715,"DAM",2000,NA,36,"Penny Knapp"
59,2710,"NVAQ",2000,NA,37,"Helen Crum"
57,2700,"NEM",2000,NA,38,"Bobbie Goldman"
59,2640,"NEM",2000,NA,39,"Pam McCarron"
57,2625,"EMP",2000,NA,40,"Judith Gerrard"
55,2625,"ISF",2000,NA,41,"Pat Wiehe"
59,2622,"SLAM",2000,NA,42,"Laurel Moran"
57,2540,"ANCM",2000,NA,43,"Dorothy L. Buchhagen"
55,2470,"DAM",2000,NA,44,"Alicia Green Amyer"
56,2345,"DAM",2000,NA,45,"Barbara I Paulson"
59,2200,"LVTC",2000,NA,46,"Connie Clark"
58,2170,"LOM",2000,NA,47,"Marian C. Davidson"
61,4005,"DAM",2000,NA,1,"Susan L. Munn"
62,3845,"WILD",2000,NA,2,"Susan Bradley Cox"
60,3825,"NEM",2000,NA,3,"Claire R. O'Brien"
60,3810,"SPM",2000,NA,4,"Jayne M. Lambke"
62,3730,"SDSM",2000,NA,5,"Betsy T. Jordon"
61,3720,"DCM",2000,NA,6,"Joann Leilich"
62,3645,"SDSM",2000,NA,7,"Jeanne Little"
61,3550,"FMM",2000,NA,8,"Patricia M Bond"
61,3550,"NEM",2000,NA,9,"Susan W. Livingston"
61,3510,"STAN",2000,NA,10,"Susan Springer"
62,3470,"NEM",2000,NA,11,"Ruth Stavis"
64,3410,"TAM",2000,NA,12,"Terry Morse"
64,3300,"MICH",2000,NA,13,"Beverly Myers"
62,3225,"GNOM",2000,NA,14,"Beverly A. Salvetti"
61,3205,"SDSM",2000,NA,15,"Carlita ""Lee"" M Durand"
60,3205,"SPM",2000,NA,16,"Sandy L. Steer"
64,3190,"SPM",2000,NA,17,"Kate Knight-Perry"
64,3170,"SMMM",2000,NA,18,"Miek McCubbin"
60,3140,"NEM",2000,NA,19,"Isabel Lyndon"
61,3115,"SMMM",2000,NA,20,"Patricia A. Durham"
60,3115,"SCAM",2000,NA,21,"Judy Sarna"
60,3085,"ARKM",2000,NA,22,"Carolyn P. Haefner"
62,3075,"YCRC",2000,NA,23,"Dorothy Banta"
60,3055,"UCLA",2000,NA,24,"Helen Geoffrion"
64,3010,"NCMS",2000,NA,25,"Beverley J. Tucker"
60,3010,"RINC",2000,NA,26,"Jeannine E. Olson"
63,2985,"RINC",2000,NA,27,"Edie Gelles"
63,2940,"MINN",2000,NA,28,"Mary A. Aker"
60,2940,"DAM",2000,NA,29,"Edie H. Schwartz"
60,2900,"DAM",2000,NA,30,"Ellen Watkins"
60,2820,"YCRC",2000,NA,31,"Ingrid Gaston"
62,2810,"AKMS",2000,NA,32,"Pat Osborn"
61,2795,"NEM",2000,NA,33,"Grace Ciocca"
64,2705,"GOST",2000,NA,34,"Marianne Brogan"
62,2680,"NCMS",2000,NA,35,"Anita J. McIntosh"
62,2600,"O*H*",2000,NA,36,"Renae Lillie"
63,2560,"NCMS",2000,NA,37,"Mary Vass"
62,2495,"EMP",2000,NA,38,"Anne Pratt"
64,2450,"OREG",2000,NA,39,"Sherin Lance"
64,2435,"SANR",2000,NA,40,"Joanne M. Berven"
60,2365,"FMM",2000,NA,41,"Margie Hutinger"
61,2250,"SWAM",2000,NA,42,"Judy Reese"
65,3690,"CONN",2000,NA,1,"Ronnie Kamphausen"
65,3480,"SDSM",2000,NA,2,"Adrienne S. Pipes"
69,3345,"DAM",2000,NA,3,"Joan K> Campbell"
68,3330,"NEM",2000,NA,4,"Diane Reed"
66,3330,"WCM",2000,NA,5,"Donna Monroe"
66,3225,"RINC",2000,NA,6,"Barbara F. Callison"
65,3175,"SWAM",2000,NA,7,"Jean C. Garbus"
69,3175,"SDSM",2000,NA,8,"Ann Shenck Dallam"
69,3070,"NIAG",2000,NA,9,"Dolly Hinckley"
67,2940,"RHMS",2000,NA,10,"Marty Barry"
69,2900,"SWAM",2000,NA,11,"Natalie Swan"
69,2790,"SPCO",2000,NA,12,"Angie Sinacore"
69,2785,"SMMM",2000,NA,13,"Ann Lambertson"
65,2695,"NCMS",2000,NA,14,"Penny Weaver"
66,2575,"SPM",2000,NA,15,"Barbara A. Atwood"
68,2570,"DCM",2000,NA,16,"Betty Griffin"
69,2535,"EMP",2000,NA,17,"Mabel Weil"
67,2375,"LOM",2000,NA,18,"Jane A. Wright"
66,2320,"DAM",2000,NA,19,"Yoshie Kyhos"
65,1950,"DAM",2000,NA,20,"Mamie Shen"
68,1880,"DAM",2000,NA,21,"Nong Chancellor"
70,3170,"DAM",2000,NA,1,"Nancy N. Durstein"
70,3070,"SWAM",2000,NA,2,"Sylvia Eisele"
72,2980,"OSB",2000,NA,3,"Peggy Sanborn"
70,2950,"ADMS",2000,NA,4,"Sylvia Idelson"
71,2810,"NEM",2000,NA,5,"Joan McIntyre"
70,2710,"FMM",2000,NA,6,"Ruth A. Hoskinson"
74,2675,"NEM",2000,NA,7,"Esther Pelletier"
74,2605,"TAM",2000,NA,8,"Ruthanne Long"
72,2600,"MACO",2000,NA,9,"Betsy Austen"
73,2505,"EMP",2000,NA,10,"Loys L. Green"
74,2500,"NCMS",2000,NA,11,"Betty Billings"
74,2400,"O*H*",2000,NA,12,"Mary Jane Amsbary"
73,2385,"N.E.T.",2000,NA,13,"Opal Eddy"
70,2350,"NCMS",2000,NA,14,"Kathleen Penn"
73,2320,"EMP",2000,NA,15,"Ruth Sadler"
71,2285,"DAM",2000,NA,16,"Nyla C. Crain"
74,2275,"DAM",2000,NA,17,"Corrinne F. Blessler"
73,2245,"NCMS",2000,NA,18,"Daisy N. Trivette"
72,2225,"ISF",2000,NA,19,"Muriel M. Dykema"
70,2220,"AKMS",2000,NA,20,"Beverly Zuagg"
71,2162,"MOVY",2000,NA,21,"Jeane Gruender"
74,2045,"NEM",2000,NA,22,"Norma B. Harlow"
73,1700,"LAM",2000,NA,23,"Ruth H. Koehler"
75,3285,"MICH",2000,NA,1,"Lois Kivi Nochman"
75,3010,"NEM",2000,NA,2,"Petey Smith"
75,2905,"NEM",2000,NA,3,"Barbara Boley"
75,2890,"RINC",2000,NA,4,"Nan Blackledge"
78,2875,"NEM",2000,NA,5,"Mary Stadig"
76,2860,"OSB",2000,NA,6,"Grace T. Altus"
75,2830,"IM",2000,NA,7,"Clara E. Sotak"
75,2735,"NEM",2000,NA,8,"Marie H. Brown"
78,2600,"DAM",2000,NA,9,"Winnie F. Walter"
78,2500,"NEM",2000,NA,10,"Billie Burrill"
79,2400,"DAM",2000,NA,11,"Patrica M. Lax"
77,2400,"CONN",2000,NA,12,"Priscilla G. Bergethon"
79,2360,"SPM",2000,NA,13,"Peggy M. Hughes"
75,2350,"DAM",2000,NA,14,"Barbara H. Knox"
77,2020,"SCAM",2000,NA,15,"Jean B. Hyde"
79,1970,"OREG",2000,NA,16,"Judy M. Melcher"
79,1910,"DCM",2000,NA,17,"Ruth H. Thorsen"
77,1795,"NCMS",2000,NA,18,"Lynne Goble"
79,1750,"NIAG",2000,NA,19,"Regina Purvis"
81,3235,"GWSC",2000,NA,1,"Rita Simonton"
82,2615,"NEM",2000,NA,2,"Margie Brown"
84,2175,"DCM",2000,NA,3,"Mary Lathram"
80,2125,"NIAG",2000,NA,4,"Annie Szuis"
82,1970,"MICH",2000,NA,5,"Martha V. Forster"
80,1850,"N.E.T.",2000,NA,6,"Nell Carew"
82,1650,"OREG",2000,NA,7,"Leola Baumgartner"
85,1235,"SMMM",2000,NA,1,"Hilda G. Buel"
89,1045,"SMMM",2000,NA,2,"Margot Lenighk"
24,5270,"NEM",2000,NA,1,"Jeff Henderson"
24,5250,"ISF",2000,NA,2,"Adam Dawkins"
22,5140,"NEM",2000,NA,3,"Gregory Wriede"
23,5110,"ISF",2000,NA,4,"Ben Christoffel"
21,4770,"DAM",2000,NA,5,"Adam F. Barrios"
21,4650,"NEM",2000,NA,6,"Christopher O'Donnell"
24,4570,"NEM",2000,NA,7,"Mike McNelis"
22,4500,"EMP",2000,NA,8,"Chris Tilghman"
24,4465,"DAM",2000,NA,9,"Nicholas A. Riegels"
22,4395,"DAM",2000,NA,10,"Vincent M. Visco"
23,4275,"ISF",2000,NA,11,"Dennis Pette"
24,4255,"DAM",2000,NA,12,"Matthew L Katz"
22,4220,"DAM",2000,NA,13,"Andrew C. Bozdech"
24,4020,"DAM",2000,NA,14,"Jeremy C. Vander Kam"
22,3760,"DAM",2000,NA,15,"Eli J. Hamlin"
19,3750,"SC",2000,NA,16,"Hidetomo Sekine"
21,3645,"DST",2000,NA,17,"Nathan A. Jaye"
21,3355,"UNAT",2000,NA,18,"Noah L. Dowell"
24,2025,"NEM",2000,NA,19,"Matthew F. Kuhrt"
29,5255,"ORLM",2000,NA,1,"Andrew J. Farrell"
25,5195,"NEM",2000,NA,2,"Bradley Harris"
29,5090,"ISF",2000,NA,3,"Jeremy Houchens"
27,5075,"DAM",2000,NA,4,"Brian D. Johnston"
27,5045,"MESC",2000,NA,5,"Benjamin M. Morse"
28,4990,"EMP",2000,NA,6,"Alex Hall"
25,4980,"UCLA",2000,NA,7,"Thomas E. Richner"
27,4850,"NEM",2000,NA,8,"James Trudell"
25,4850,"ISF",2000,NA,9,"Grant Comer"
26,4830,"DAM",2000,NA,10,"Ken P. Petruzzelli"
26,4825,"DAM",2000,NA,11,"Donny J. Richmond"
29,4800,"NEM",2000,NA,12,"Pete Cadwell"
27,4790,"MVM",2000,NA,13,"Alan Liu"
25,4740,"DAM",2000,NA,14,"Alvin H. Chang"
28,4735,"EMP",2000,NA,15,"Jean-Marc Agostini"
25,4725,"SPCO",2000,NA,16,"Carl A. Ellefson"
25,4640,"EMP",2000,NA,17,"Brendan Doolan"
29,4635,"GCMT",2000,NA,18,"Duncan S. Adamson"
28,4625,"EMP",2000,NA,19,"Bob Allison"
25,4620,"DAM",2000,NA,20,"Richard R. Simmons"
25,4620,"NEM",2000,NA,21,"Ryan Davenport"
29,4560,"O*H*",2000,NA,22,"Mark Sindlear"
28,4550,"NEM",2000,NA,23,"Mark Goldman"
29,4525,"NEM",2000,NA,24,"Matt Craig"
29,4510,"EMP",2000,NA,25,"Andy Willett"
27,4510,"LAM",2000,NA,26,"Johnathan P. Turk"
27,4500,"NEM",2000,NA,27,"Garth Brown"
26,4490,"LAM",2000,NA,28,"David G. Andeen"
29,4400,"NEM",2000,NA,29,"Darius Deak"
25,4390,"TAM",2000,NA,30,"Robert C. Mackenzie"
29,4325,"EMP",2000,NA,31,"Scott A. Bieker"
26,4300,"ISF",2000,NA,32,"Todd Dawkins"
29,4300,"ISF",2000,NA,33,"Doug Trumpey"
25,4265,"NEM",2000,NA,34,"Eric S. Gordon"
27,4250,"NEM",2000,NA,35,"Christopher C. Ramsey"
28,4215,"EMP",2000,NA,36,"Alex Martinez"
28,4195,"DAM",2000,NA,37,"Mark K. Pingree"
25,4190,"DAM",2000,NA,38,"David P. Funston"
29,4115,"CRAQ",2000,NA,39,"Clark P. Allen"
28,4110,"AKMS",2000,NA,40,"John M Classic"
27,4080,"LAM",2000,NA,41,"Eric Rescorla"
29,4050,"ISF",2000,NA,42,"Robert D. Simon"
28,4025,"NIAG",2000,NA,43,"Andrew Kaltenbach"
29,3990,"NEM",2000,NA,44,"Jared Shaw"
29,3950,"DAM",2000,NA,45,"David D. Chao"
25,3935,"LAM",2000,NA,46,"Scott J. Dudley"
25,3825,"UCLA",2000,NA,47,"Tin Do"
25,3745,"EMP",2000,NA,48,"Bill Stergiou"
25,3730,"LAM",2000,NA,49,"Kevin B. Kennedy"
29,3700,"NEM",2000,NA,50,"Raymond Burrows"
26,3615,"EMP",2000,NA,51,"James Morrissey"
28,3550,"NEM",2000,NA,52,"Mike Anderson"
